Id,Group,Exam,MCQ_1,MCQ_2,MCQ_3,MCQ_4,MCQ_5,MCQ_6,MCQ_7,MCQ_8,MCQ_9,MCQ_10,Online_MCQ_1,Online_MCQ_2,Online_MCQ_3,Online_MCQ_4,Online_MCQ_5,Online_MCQ_6,Online_MCQ_7,Online_MCQ_8,Online_MCQ_9,Online_MCQ_10,Online_MCQ_11,Online_MCQ_12,Online_MCQ_13,Online_MCQ_14,Online_MCQ_15,Online_MCQ_16,Online_MCQ_17,Online_MCQ_18,Online_MCQ_19
423,grp_2,4.5,15,13.846153846153847,20,3.5294117647058827,9.230769230769232,16,11.11111111111111,1.7647058823529413,NA,6.666666666666666,15.71,20,NA,NA,NA,20,NA,NA,NA,NA,20,13.33,6.67,20,NA,16.67,6.67,NA,6.67
635,grp_16,13.5,5,16.923076923076923,10,12.941176470588236,20,20,15.555555555555555,20,15,15.555555555555555,NA,13.33,14.55,NA,NA,20,NA,11.82,13.33,NA,14.29,NA,6.67,20,8,20,20,NA,NA
378,grp_24,15.5,16.666666666666668,18.461538461538463,20,14.11764705882353,20,20,13.333333333333332,20,17.5,20,17.14,16.67,20,20,20,20,20,17.27,20,16.67,20,20,16.67,20,12,20,20,20,20
30,grp_2,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
697,grp_24,5,13.333333333333332,10.769230769230768,12.727272727272727,15.294117647058822,16.923076923076923,8,11.11111111111111,15.294117647058822,2.5,8.88888888888889,20,NA,16.36,NA,NA,15,NA,NA,20,NA,14.29,13.33,13.33,10,NA,20,20,NA,13.33
565,grp_1,11,16.666666666666668,15.384615384615385,9.09090909090909,16.470588235294116,16.923076923076923,20,6.666666666666666,20,7.5,NA,15.71,15,18.18,NA,NA,15,NA,NA,20,13.33,17.14,20,NA,15,NA,13.33,16.67,NA,16.67
28,grp_3,7,10,20,20,5.882352941176471,13.846153846153847,16,17.77777777777778,20,15,20,20,20,18.18,NA,NA,NA,NA,NA,NA,NA,20,20,NA,NA,NA,20,20,NA,20
387,grp_3,10,10,18.461538461538463,18.18181818181818,8.235294117647058,13.846153846153847,20,20,18.823529411764707,NA,17.77777777777778,20,NA,20,NA,5,15,NA,NA,6.67,13.33,20,20,16.67,NA,0,20,20,NA,20
417,grp_9,3,10,10.769230769230768,10,2.3529411764705883,4.615384615384616,4,8.88888888888889,3.5294117647058827,5,4.444444444444445,15.71,11.67,12.73,NA,NA,15,NA,1.82,13.33,0,17.14,20,NA,15,NA,13.33,13.33,NA,16.67
111,grp_3,11,0,20,20,5.882352941176471,18.461538461538463,20,15.555555555555555,20,17.5,20,20,16.67,20,10,20,20,20,NA,20,16.67,20,20,16.67,20,12,20,20,20,20
575,grp_7,3,13.333333333333332,13.846153846153847,7.272727272727273,12.941176470588236,16.923076923076923,20,8.88888888888889,10.588235294117647,15,6.666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,grp_13,13.5,13.333333333333332,13.846153846153847,20,20,20,20,15.555555555555555,12.941176470588236,12.5,15.555555555555555,17.14,NA,16.36,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,10,NA,NA,NA,NA,NA
265,grp_18,2,3.333333333333333,1.5384615384615385,10.909090909090908,1.1764705882352942,6.153846153846154,12,4.444444444444445,5.882352941176471,NA,NA,12.86,11.67,9.09,NA,0,NA,0,0.91,13.33,6.67,17.14,20,NA,20,NA,20,20,NA,20
310,grp_9,NA,NA,13.846153846153847,20,8.235294117647058,12.307692307692308,4,8.88888888888889,11.764705882352942,0,NA,17.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,0,NA,16.67,20,NA,20
592,grp_17,6,15,18.461538461538463,8.181818181818182,9.411764705882353,7.6923076923076925,20,20,0,12.5,20,15.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,NA,NA,13.33,6.67,NA,20
199,grp_5,5,11.666666666666668,12.307692307692308,0,9.411764705882353,13.846153846153847,20,8.88888888888889,20,NA,NA,NA,NA,14.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
522,grp_22,17.5,18.333333333333332,18.461538461538463,20,12.941176470588236,20,20,20,20,12.5,NA,20,16.67,18.18,20,10,20,20,14.55,20,20,20,20,3.33,20,12,20,20,10,20
660,grp_5,6,0,9.230769230769232,14.545454545454547,NA,15.384615384615385,20,8.88888888888889,10.588235294117647,0,NA,12.86,NA,10.91,NA,NA,10,NA,15.45,20,0,17.14,13.33,NA,20,NA,10,13.33,NA,16.67
409,grp_21,8,5,9.230769230769232,11.818181818181818,5.882352941176471,NA,16,15.555555555555555,5.882352941176471,0,11.11111111111111,12.86,NA,NA,20,10,NA,10,5.45,20,NA,14.29,20,NA,20,NA,13.33,16.67,5,13.33
108,grp_4,5,6.666666666666666,10.769230769230768,18.18181818181818,10.588235294117647,6.153846153846154,16,11.11111111111111,14.11764705882353,5,13.333333333333332,20,13.33,14.55,15,2.5,15,NA,NA,20,6.67,14.29,13.33,13.33,20,0,16.67,16.67,5,20
514,grp_21,7.5,11.666666666666668,13.846153846153847,10.909090909090908,14.11764705882353,13.846153846153847,16,17.77777777777778,20,NA,13.333333333333332,20,20,18.18,20,2.5,20,10,9.09,20,13.33,11.43,20,3.33,15,0,16.67,20,15,13.33
73,grp_19,6,13.333333333333332,13.846153846153847,12.727272727272727,7.058823529411765,15.384615384615385,12,6.666666666666666,16.470588235294116,2.5,NA,20,11.67,18.18,NA,NA,10,NA,3.64,6.67,0,20,20,NA,15,NA,10,10,NA,16.67
147,grp_8,6,5,15.384615384615385,NA,2.3529411764705883,10.769230769230768,20,17.77777777777778,10.588235294117647,NA,17.77777777777778,5.71,15,18.18,NA,NA,10,NA,1.82,13.33,3.33,11.43,20,10,5,4,13.33,13.33,NA,13.33
335,grp_1,NA,NA,NA,5.454545454545454,4.705882352941177,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,13.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
497,grp_9,7,13.333333333333332,9.230769230769232,14.545454545454547,14.11764705882353,6.153846153846154,0,2.2222222222222223,5.882352941176471,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,NA,NA,NA,NA,NA
247,grp_24,NA,5,10.769230769230768,NA,7.058823529411765,1.5384615384615385,12,0,NA,2.5,8.88888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,grp_24,11,8.333333333333334,13.846153846153847,16.363636363636363,14.11764705882353,10.769230769230768,20,13.333333333333332,20,7.5,NA,20,20,12.73,5,NA,15,0,0,13.33,0,NA,13.33,0,20,NA,10,20,0,13.33
150,grp_15,7,10,9.230769230769232,NA,10.588235294117647,13.846153846153847,4,4.444444444444445,0,5,15.555555555555555,14.29,NA,NA,20,10,20,0,7.27,13.33,3.33,NA,13.33,13.33,20,16,20,16.67,10,10
61,grp_1,16.5,16.666666666666668,13.846153846153847,20,11.764705882352942,15.384615384615385,16,20,19.41176470588235,7.5,20,17.14,16.67,12.73,20,NA,20,0,12.73,13.33,13.33,14.29,20,13.33,20,8,20,16.67,NA,20
20,grp_3,11,0,18.461538461538463,16.363636363636363,9.411764705882353,15.384615384615385,12,20,18.823529411764707,17.5,20,20,16.67,20,15,7.5,20,20,14.55,20,20,20,20,13.33,20,12,20,20,15,20
533,grp_23,2,0,13.846153846153847,8.181818181818182,9.411764705882353,4.615384615384616,16,7.777777777777778,0,6.25,6.666666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,grp_20,9.5,6.666666666666666,15.384615384615385,12.727272727272727,2.3529411764705883,10.769230769230768,16,11.11111111111111,0,10,6.666666666666666,15.71,15,12.73,NA,2.5,NA,NA,NA,0,NA,20,20,6.67,20,NA,16.67,20,NA,20
17,grp_24,10,20,20,16.363636363636363,14.11764705882353,16.923076923076923,20,17.77777777777778,20,15,15.555555555555555,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,grp_5,6,8.333333333333334,13.846153846153847,20,9.411764705882353,20,20,17.77777777777778,10.588235294117647,2.5,NA,17.14,18.33,16.36,NA,5,20,NA,18.18,20,16.67,17.14,20,0,20,4,20,16.67,NA,20
211,grp_20,10,11.666666666666668,10.769230769230768,14.545454545454547,11.764705882352942,9.230769230769232,16,15.555555555555555,4.117647058823529,5,4.444444444444445,20,15,18.18,20,2.5,20,15,7.27,13.33,3.33,20,20,13.33,20,12,20,16.67,20,10
174,grp_7,5,NA,10.769230769230768,14.545454545454547,7.058823529411765,9.230769230769232,20,15.555555555555555,7.058823529411765,5,8.88888888888889,20,NA,NA,NA,NA,15,NA,NA,20,0,17.14,20,3.33,NA,4,NA,3.33,NA,20
273,grp_10,13.5,13.333333333333332,20,18.18181818181818,15.294117647058822,12.307692307692308,20,13.333333333333332,15.294117647058822,2.5,17.77777777777778,15.71,20,18.18,20,10,20,5,8.18,13.33,16.67,14.29,20,16.67,20,8,20,20,15,16.67
94,grp_11,NA,0,10.769230769230768,10.909090909090908,3.5294117647058827,0,4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,grp_11,3,8.333333333333334,12.307692307692308,14.545454545454547,10.588235294117647,6.153846153846154,16,4.444444444444445,9.411764705882353,5,NA,10,NA,NA,NA,NA,15,NA,NA,NA,NA,20,20,NA,NA,NA,10,10,NA,13.33
543,grp_4,14,6.666666666666666,16.923076923076923,10,10.588235294117647,13.846153846153847,16,20,20,5,15.555555555555555,17.14,15,NA,NA,10,NA,NA,5.45,13.33,3.33,20,20,13.33,NA,12,16.67,10,NA,16.67
178,grp_23,5.5,3.333333333333333,12.307692307692308,18.18181818181818,18.823529411764707,20,20,20,20,18.75,15.555555555555555,15.71,NA,18.18,15,12.5,NA,0,14.55,0,NA,14.29,20,NA,15,NA,10,16.67,10,16.67
179,grp_2,7,6.666666666666666,18.461538461538463,20,9.411764705882353,6.153846153846154,12,15.555555555555555,20,10,NA,20,20,18.18,NA,NA,20,NA,NA,20,13.33,14.29,20,NA,20,NA,16.67,20,NA,10
726,grp_16,2,1.6666666666666665,7.6923076923076925,14.545454545454547,8.235294117647058,10.769230769230768,16,6.666666666666666,8.235294117647058,3.75,8.88888888888889,NA,NA,14.55,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,grp_23,3,0,6.153846153846154,7.272727272727273,8.235294117647058,0,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
499,grp_4,0,1.6666666666666665,3.076923076923077,16.363636363636363,3.5294117647058827,15.384615384615385,8,11.11111111111111,10.588235294117647,0,17.77777777777778,12.86,10,NA,10,0,NA,0,10.91,NA,NA,17.14,13.33,6.67,20,4,13.33,10,20,20
324,grp_20,8,8.333333333333334,15.384615384615385,9.09090909090909,9.411764705882353,7.6923076923076925,16,15.555555555555555,5.882352941176471,10,11.11111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,13.33,NA,NA,20,20,NA,16.67
346,grp_2,13,20,18.461538461538463,12.727272727272727,9.411764705882353,6.153846153846154,20,15.555555555555555,20,15,15.555555555555555,NA,NA,NA,NA,NA,20,0,NA,6.67,0,11.43,20,13.33,20,16,20,20,NA,16.67
597,grp_12,11,10,18.461538461538463,20,17.647058823529413,6.153846153846154,20,17.77777777777778,10.588235294117647,15,NA,20,NA,12.73,NA,NA,20,0,6.36,13.33,10,NA,20,6.67,20,NA,20,16.67,NA,16.67
231,grp_18,5,10,10.769230769230768,1.8181818181818183,14.11764705882353,6.153846153846154,20,4.444444444444445,7.058823529411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,grp_13,9,13.333333333333332,18.461538461538463,14.545454545454547,17.647058823529413,15.384615384615385,20,6.666666666666666,11.764705882352942,NA,17.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,grp_7,1.5,NA,NA,5.454545454545454,5.882352941176471,NA,20,17.77777777777778,10.588235294117647,11.25,8.88888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.33,NA,15,NA,6.67,NA,NA,6.67
612,grp_19,2,8.333333333333334,0,5.454545454545454,0,7.6923076923076925,16,0,0,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
644,grp_4,7,8.333333333333334,13.846153846153847,16.363636363636363,7.058823529411765,13.846153846153847,16,20,17.647058823529413,17.5,13.333333333333332,NA,18.33,10.91,NA,NA,10,NA,6.36,NA,0,20,NA,3.33,20,NA,13.33,13.33,NA,NA
443,grp_1,7.5,15,12.307692307692308,18.18181818181818,11.764705882352942,6.153846153846154,16,8.88888888888889,18.823529411764707,2.5,8.88888888888889,NA,15,16.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,grp_11,3,8.333333333333334,16.923076923076923,16.363636363636363,4.705882352941177,13.846153846153847,16,13.333333333333332,20,12.5,20,20,NA,10.91,0,10,15,0,0,13.33,13.33,NA,13.33,0,NA,NA,20,16.67,0,6.67
236,grp_9,6,15,18.461538461538463,10.909090909090908,9.411764705882353,12.307692307692308,12,6.666666666666666,14.11764705882353,0,15.555555555555555,17.14,NA,16.36,NA,NA,NA,NA,NA,NA,NA,NA,20,10,20,0,16.67,20,NA,13.33
